date,location,fully_vaccinated,fully_vaccinated_per_hundred
2021-01-12,Alabama,7270,0.15
2021-01-13,Alabama,9245,0.19
2021-01-14,Alabama,,
2021-01-15,Alabama,13488,0.28
2021-01-16,Alabama,,
2021-01-17,Alabama,,
2021-01-18,Alabama,,
2021-01-19,Alabama,16346,0.33
2021-01-20,Alabama,17956,0.37
2021-01-21,Alabama,21345,0.44
2021-01-22,Alabama,24840,0.51
2021-01-23,Alabama,27422,0.56
2021-01-24,Alabama,29736,0.61
2021-01-25,Alabama,29978,0.61
2021-01-26,Alabama,30933,0.63
2021-01-27,Alabama,33595,0.69
2021-01-28,Alabama,37431,0.76
2021-01-29,Alabama,44073,0.9
2021-01-30,Alabama,53742,1.1
2021-01-31,Alabama,55331,1.13
2021-02-01,Alabama,56308,1.15
2021-02-02,Alabama,58825,1.2
2021-02-03,Alabama,62990,1.28
2021-02-04,Alabama,69155,1.41
2021-02-05,Alabama,76603,1.56
2021-02-06,Alabama,84278,1.72
2021-02-07,Alabama,86141,1.76
2021-02-08,Alabama,88453,1.8
2021-02-09,Alabama,95033,1.94
2021-02-10,Alabama,102520,2.09
2021-02-11,Alabama,111036,2.26
2021-02-12,Alabama,122019,2.49
2021-02-13,Alabama,133029,2.71
2021-02-14,Alabama,137032,2.79
2021-02-15,Alabama,,
2021-02-16,Alabama,149288,3.04
2021-02-17,Alabama,154341,3.15
2021-02-18,Alabama,165104,3.37
2021-02-19,Alabama,192304,3.92
2021-02-20,Alabama,214512,4.37
2021-02-21,Alabama,219639,4.48
2021-02-22,Alabama,228101,4.65
2021-02-23,Alabama,239425,4.88
2021-02-24,Alabama,253615,5.17
2021-02-25,Alabama,268465,5.48
2021-02-26,Alabama,286095,5.83
2021-02-27,Alabama,307868,6.28
2021-02-28,Alabama,313290,6.39
2021-03-01,Alabama,316073,6.45
2021-03-02,Alabama,330046,6.73
2021-03-03,Alabama,346841,7.07
2021-03-04,Alabama,365456,7.45
2021-03-05,Alabama,383078,7.81
2021-03-06,Alabama,402061,8.2
2021-03-07,Alabama,406723,8.3
2021-03-08,Alabama,409937,8.36
2021-03-09,Alabama,420083,8.57
2021-03-10,Alabama,435018,8.87
2021-03-11,Alabama,452746,9.23
2021-03-12,Alabama,472325,9.63
2021-03-13,Alabama,492755,10.05
2021-03-14,Alabama,497653,10.15
2021-03-15,Alabama,501344,10.22
2021-03-16,Alabama,511869,10.44
2021-03-17,Alabama,523649,10.68
2021-03-18,Alabama,533375,10.88
2021-03-19,Alabama,547257,11.16
2021-03-20,Alabama,561254,11.45
2021-03-21,Alabama,566632,11.56
2021-03-22,Alabama,569127,11.61
2021-03-23,Alabama,579598,11.82
2021-03-24,Alabama,589979,12.03
2021-03-25,Alabama,600666,12.25
2021-03-26,Alabama,611694,12.48
2021-03-27,Alabama,623385,12.71
2021-03-28,Alabama,628500,12.82
2021-03-29,Alabama,631388,12.88
2021-03-30,Alabama,643450,13.12
2021-03-31,Alabama,656899,13.4
2021-04-01,Alabama,673773,13.74
2021-04-02,Alabama,691082,14.09
2021-04-03,Alabama,705197,14.38
2021-04-04,Alabama,709849,14.48
2021-04-05,Alabama,711596,14.51
2021-04-06,Alabama,725270,14.79
2021-04-07,Alabama,744961,15.19
2021-04-08,Alabama,764450,15.59
2021-04-09,Alabama,788325,16.08
2021-04-10,Alabama,811323,16.55
2021-04-11,Alabama,819550,16.71
2021-04-12,Alabama,824052,16.81
2021-04-13,Alabama,844353,17.22
2021-04-14,Alabama,868550,17.71
2021-04-15,Alabama,893002,18.21
2021-04-16,Alabama,915654,18.67
2021-04-17,Alabama,935377,19.08
2021-04-18,Alabama,943129,19.24
2021-04-19,Alabama,946333,19.3
2021-04-20,Alabama,966251,19.71
2021-04-21,Alabama,987379,20.14
2021-04-22,Alabama,1010415,20.61
2021-04-23,Alabama,1033996,21.09
2021-04-24,Alabama,1054863,21.51
2021-04-25,Alabama,1062524,21.67
2021-04-26,Alabama,1066659,21.75
2021-04-27,Alabama,1079815,22.02
2021-04-28,Alabama,1098820,22.41
2021-04-29,Alabama,1121348,22.87
2021-04-30,Alabama,1143488,23.32
2021-05-01,Alabama,1161725,23.69
2021-05-02,Alabama,1165479,23.77
2021-05-03,Alabama,1168235,23.83
2021-05-04,Alabama,1179793,24.06
2021-05-05,Alabama,1199064,24.45
2021-05-06,Alabama,1201303,24.5
2021-05-07,Alabama,1240335,25.3
2021-05-08,Alabama,1263965,25.78
2021-05-09,Alabama,1270858,25.92
2021-05-10,Alabama,1273670,25.98
2021-05-11,Alabama,1273999,25.98
2021-05-12,Alabama,1286565,26.24
2021-05-13,Alabama,1314534,26.81
2021-05-14,Alabama,1334176,27.21
2021-05-15,Alabama,1348023,27.49
2021-05-16,Alabama,1350643,27.55
2021-05-17,Alabama,1350830,27.55
2021-05-18,Alabama,1362380,27.79
2021-05-19,Alabama,1362834,27.79
2021-05-20,Alabama,1382327,28.19
2021-05-21,Alabama,1387356,28.29
2021-05-22,Alabama,1396990,28.49
2021-05-23,Alabama,1407769,28.71
2021-05-24,Alabama,1407917,28.71
2021-05-25,Alabama,1415771,28.87
2021-05-26,Alabama,1419599,28.95
2021-05-27,Alabama,1423605,29.03
2021-05-28,Alabama,1429238,29.15
2021-05-29,Alabama,1431669,29.2
2021-05-30,Alabama,1432446,29.21
2021-05-31,Alabama,,
2021-06-01,Alabama,1433267,29.23
2021-06-02,Alabama,1435324,29.27
2021-06-03,Alabama,1435719,29.28
2021-06-04,Alabama,1440101,29.37
2021-06-05,Alabama,1440289,29.37
2021-06-06,Alabama,1441834,29.41
2021-06-07,Alabama,1442775,29.43
2021-06-08,Alabama,1443230,29.43
2021-06-09,Alabama,1445608,29.48
2021-06-10,Alabama,1460230,29.78
2021-06-11,Alabama,1468898,29.96
2021-06-12,Alabama,1485108,30.29
2021-06-13,Alabama,1490848,30.41
2021-06-14,Alabama,1499941,30.59
2021-06-15,Alabama,1501171,30.62
2021-06-16,Alabama,1508504,30.77
2021-06-17,Alabama,1546119,31.53
2021-06-18,Alabama,1546983,31.55
2021-06-19,Alabama,1558881,31.79
2021-06-20,Alabama,1562192,31.86
2021-06-21,Alabama,1563573,31.89
2021-06-22,Alabama,1566908,31.96
2021-06-23,Alabama,1570452,32.03
2021-06-24,Alabama,1574676,32.12
2021-06-25,Alabama,1574934,32.12
2021-06-26,Alabama,1578780,32.2
2021-06-27,Alabama,1584456,32.31
2021-06-28,Alabama,1590001,32.43
2021-06-29,Alabama,1594040,32.51
2021-06-30,Alabama,1594625,32.52
2021-07-01,Alabama,1601802,32.67
2021-07-02,Alabama,1602022,32.67
2021-07-03,Alabama,1612803,32.89
2021-07-04,Alabama,1612913,32.9
2021-07-05,Alabama,,
2021-07-06,Alabama,1617584,32.99
2021-07-07,Alabama,1619647,33.03
2021-07-08,Alabama,1623114,33.1
2021-07-09,Alabama,1626323,33.17
2021-07-10,Alabama,1629745,33.24
2021-07-11,Alabama,1633408,33.31
2021-07-12,Alabama,1633505,33.32
2021-07-13,Alabama,1638866,33.42
2021-07-14,Alabama,1639032,33.43
2021-07-15,Alabama,1645083,33.55
2021-07-16,Alabama,1647995,33.61
2021-07-17,Alabama,1648172,33.61
2021-07-18,Alabama,1651404,33.68
2021-07-19,Alabama,1653604,33.73
2021-07-20,Alabama,1654644,33.75
2021-07-21,Alabama,1659775,33.85
2021-07-22,Alabama,1662812,33.91
2021-07-23,Alabama,1663031,33.92
2021-07-24,Alabama,1665751,33.97
2021-07-25,Alabama,1668818,34.04
2021-07-26,Alabama,1671098,34.08
2021-07-27,Alabama,1672423,34.11
2021-07-28,Alabama,1677048,34.2
2021-07-29,Alabama,1677279,34.21
2021-07-30,Alabama,1683367,34.33
2021-07-31,Alabama,1683584,34.34
2021-08-01,Alabama,1687404,34.41
2021-08-02,Alabama,1687444,34.42
2021-08-03,Alabama,1693504,34.54
2021-08-04,Alabama,1696031,34.59
2021-08-05,Alabama,1697144,34.61
2021-08-06,Alabama,1703519,34.74
2021-08-07,Alabama,1707895,34.83
2021-08-08,Alabama,1708026,34.84
2021-08-09,Alabama,1711014,34.9
2021-08-10,Alabama,1715676,34.99
2021-08-11,Alabama,1716368,35.01
2021-08-12,Alabama,1720455,35.09
2021-08-13,Alabama,1725039,35.18
2021-08-14,Alabama,1726776,35.22
2021-08-15,Alabama,1734722,35.38
2021-08-16,Alabama,1743610,35.56
2021-08-17,Alabama,1748529,35.66
2021-08-18,Alabama,1752243,35.74
2021-08-19,Alabama,1759489,35.88
2021-08-20,Alabama,1770725,36.11
2021-08-21,Alabama,1777585,36.25
2021-08-22,Alabama,1781590,36.34
2021-08-23,Alabama,1793712,36.58
2021-08-24,Alabama,1802279,36.76
2021-08-25,Alabama,1803904,36.79
2021-08-26,Alabama,1813256,36.98
2021-08-27,Alabama,1838347,37.49
2021-08-28,Alabama,1850031,37.73
2021-08-29,Alabama,1860445,37.94
2021-01-12,Alaska,5400,0.74
2021-01-13,Alaska,6166,0.84
2021-01-14,Alaska,,
2021-01-15,Alaska,9406,1.29
2021-01-16,Alaska,,
2021-01-17,Alaska,,
2021-01-18,Alaska,,
2021-01-19,Alaska,10802,1.48
2021-01-20,Alaska,11283,1.54
2021-01-21,Alaska,12352,1.69
2021-01-22,Alaska,13718,1.88
2021-01-23,Alaska,15206,2.08
2021-01-24,Alaska,16201,2.21
2021-01-25,Alaska,16673,2.28
2021-01-26,Alaska,16815,2.3
2021-01-27,Alaska,18097,2.47
2021-01-28,Alaska,20045,2.74
2021-01-29,Alaska,21593,2.95
2021-01-30,Alaska,23320,3.19
2021-01-31,Alaska,24545,3.36
2021-02-01,Alaska,25467,3.48
2021-02-02,Alaska,26207,3.58
2021-02-03,Alaska,27528,3.76
2021-02-04,Alaska,30172,4.12
2021-02-05,Alaska,32593,4.46
2021-02-06,Alaska,35773,4.89
2021-02-07,Alaska,39541,5.41
2021-02-08,Alaska,40812,5.58
2021-02-09,Alaska,41698,5.7
2021-02-10,Alaska,43552,5.95
2021-02-11,Alaska,46006,6.29
2021-02-12,Alaska,48969,6.69
2021-02-13,Alaska,52380,7.16
2021-02-14,Alaska,57117,7.81
2021-02-15,Alaska,,
2021-02-16,Alaska,60964,8.33
